Trial,Fast,Slow,CAGR,Sharpe,Drawdown,Returns
410,15,85,0.04,0.48,-0.23,1.3366262917379343
2502,43,77,0.04,0.41,-0.26,1.3364692234853113
2095,37,120,0.04,0.41,-0.3,1.3363013030047781
1675,32,75,0.04,0.43,-0.29,1.3362384593443712
764,20,64,0.04,0.45,-0.25,1.3362374459454083
2143,38,93,0.04,0.42,-0.26,1.3360727603476406
158,12,58,0.04,0.49,-0.15,1.3360118945469122
14,10,64,0.04,0.49,-0.2,1.335645638822027
1381,28,81,0.04,0.44,-0.25,1.3350018640573162
584,17,109,0.04,0.47,-0.22,1.334848847244605
585,17,110,0.04,0.47,-0.22,1.334848847244605
412,15,87,0.04,0.48,-0.23,1.334813324682609
2072,37,97,0.04,0.42,-0.27,1.334806719110261
2428,42,78,0.04,0.41,-0.26,1.3347589852081692
2522,43,97,0.04,0.4,-0.3,1.3346187311914612
93,11,68,0.04,0.49,-0.19,1.3343941017706393
1757,33,82,0.04,0.43,-0.27,1.3343610349185948
2801,47,76,0.04,0.41,-0.26,1.3343593831892535
334,14,84,0.04,0.48,-0.23,1.3343139255584346
301,14,51,0.04,0.47,-0.16,1.3343101127230965
2508,43,83,0.04,0.41,-0.26,1.3333049659659901
1823,34,73,0.04,0.43,-0.3,1.3330129796702401
1987,36,87,0.04,0.42,-0.29,1.3327987295614272
1015,23,90,0.04,0.45,-0.23,1.3324930421385341
156,12,56,0.04,0.48,-0.15,1.3324638359547603
523,16,123,0.04,0.47,-0.25,1.3323670388286186
337,14,87,0.04,0.48,-0.22,1.332357292680076
265,13,90,0.04,0.48,-0.23,1.3323157431919455
2134,38,84,0.04,0.42,-0.28,1.3322206306243045
2052,37,77,0.04,0.42,-0.27,1.3322035842384938
950,22,100,0.04,0.45,-0.22,1.3321124933324426
489,16,89,0.04,0.47,-0.24,1.3320842034538825
624,18,74,0.04,0.46,-0.24,1.331773610440726
2146,38,96,0.04,0.41,-0.27,1.3316989859229258
2145,38,95,0.04,0.41,-0.27,1.3316989859229256
1466,29,91,0.04,0.43,-0.24,1.3315675391218822
944,22,94,0.04,0.45,-0.23,1.3314075214565382
92,11,67,0.04,0.49,-0.19,1.3310823774839198
2678,45,103,0.03,0.4,-0.3,1.3310239717001497
1398,28,98,0.04,0.44,-0.23,1.330927043163138
1125,25,50,0.04,0.45,-0.3,1.3308967952422193
833,21,58,0.04,0.45,-0.25,1.3307707744479194
3016,50,67,0.03,0.41,-0.26,1.330657954817669
721,19,96,0.04,0.45,-0.21,1.3305778668549486
762,20,62,0.04,0.45,-0.25,1.3304920970720289
930,22,80,0.04,0.46,-0.25,1.3304874147507848
2131,38,81,0.04,0.42,-0.27,1.3304554570354925
869,21,94,0.04,0.45,-0.22,1.3303761451427518
1458,29,83,0.04,0.44,-0.27,1.3303457872648456
2293,40,93,0.04,0.41,-0.27,1.3303296440171102
2948,49,73,0.03,0.41,-0.26,1.3302599811940174
1537,30,87,0.04,0.43,-0.26,1.3302520093172305
960,22,110,0.04,0.44,-0.25,1.3300980512044154
704,19,79,0.04,0.46,-0.24,1.330092302299853
85,11,60,0.04,0.49,-0.18,1.3300189571061418
483,16,83,0.04,0.46,-0.22,1.3299953032279417
1899,35,74,0.04,0.42,-0.29,1.3299754594068594
2501,43,76,0.03,0.41,-0.26,1.3299244104022505
2061,37,86,0.04,0.41,-0.29,1.329695671429792
2943,49,68,0.03,0.41,-0.27,1.3295963133463478
450,16,50,0.04,0.46,-0.2,1.3295761031468813
336,14,86,0.04,0.47,-0.23,1.3295375512775427
627,18,77,0.04,0.46,-0.25,1.3293669933072625
2202,39,77,0.03,0.41,-0.27,1.3292197280940807
1484,29,109,0.04,0.42,-0.27,1.3288906847863668
2799,47,74,0.03,0.41,-0.26,1.3288024032513654
589,17,114,0.04,0.46,-0.23,1.3286862302559552
875,21,100,0.04,0.44,-0.23,1.3284196109420319
705,19,80,0.04,0.46,-0.24,1.3283066085753052
2357,41,82,0.03,0.41,-0.26,1.328290971594789
779,20,79,0.04,0.45,-0.23,1.3282786900817785
661,18,111,0.04,0.46,-0.22,1.328272337538373
971,22,121,0.04,0.44,-0.26,1.3281236155143006
1464,29,89,0.04,0.43,-0.25,1.3279348540109337
943,22,93,0.04,0.44,-0.23,1.327679329080468
925,22,75,0.04,0.45,-0.25,1.3273796001880462
588,17,113,0.04,0.46,-0.23,1.3273488510609317
2532,43,107,0.03,0.39,-0.3,1.327323892153463
